Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Minden-Lübbecke,5770,WL,Verdichtetes Umland,2.05,3.11
Mayen-Koblenz,7137,RP,Verdichtetes Umland,2.05,3.11
Offenbach,6413,HE,Kernstädte,2.04,3.11
Lörrach,8336,BW,Verdichtetes Umland,2.02,3.11
Konstanz,8335,BW,Verdichtetes Umland,2.02,3.11
Harburg,3353,NI,Verdichtetes Umland,2.01,3.11
Tuttlingen,8327,BW,Verdichtetes Umland,2.0,3.11
Herford,5758,WL,Verdichtetes Umland,1.98,3.11
Stormarn,1062,SH,Verdichtetes Umland,1.95,3.11
Miesbach,9182,BY,Ländliches Umland,1.91,3.11
Bielefeld,5711,WL,Kernstädte,1.9,3.11
Oldenburg,3403,NI,Kernstädte,1.88,3.11
Brandenburg,12051,BB,Ländlicher Raum,1.85,3.11
Pinneberg,1056,SH,Verdichtetes Umland,1.82,3.11
Emden,3402,NI,Ländliches Umland,1.8,3.11
Darmstadt-Dieburg,6432,HE,Verdichtetes Umland,1.8,3.11
Emmendingen,8316,BW,Verdichtetes Umland,1.78,3.11
Wiesbaden,6414,HE,Kernstädte,1.77,3.11
Frankfurt,6412,HE,Kernstädte,1.77,3.11
Freiburg,8311,BW,Kernstädte,1.74,3.11
Mainz,7315,RP,Kernstädte,1.68,3.11
Darmstadt,6411,HE,Kernstädte,1.64,3.11
Groß-Gerau,6433,HE,Verdichtetes Umland,1.63,3.11
Breisgau-Hochschwarzwald,8315,BW,Verdichtetes Umland,1.63,3.11
Main-Taunus-Kreis,6436,HE,Verdichtetes Umland,1.55,3.11
Koblenz,7111,RP,Kernstädte,1.5,3.11
